"agency","Charge_Description_Orig","activityDate","BLOCK_ADDRESS","ZipCode","community","fullAdr","lon","lat"
"SAN DIEGO","BATTERY WITH SERIOUS BODILY INJURY (F)","12/24/2014 16:35:00","3700  BLOCK HAINES STREET","92109","SAN DIEGO","3700  BLOCK HAINES STREET , SAN DIEGO, CA  92109",-117.2387406,32.7864011
"SAN DIEGO","ASSAULT","5/16/2015 8:26:00","3400  BLOCK DEL REY STREET","92109","SAN DIEGO","3400  BLOCK DEL REY STREET , SAN DIEGO, CA  92109",-117.2127827,32.8010624
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","4/19/2015 15:42:00","3100  BLOCK OCEAN FRONT WALK","92109","SAN DIEGO","3100  BLOCK OCEAN FRONT WALK , SAN DIEGO, CA  92109",-117.2528154,32.76983
"SAN DIEGO","GRAND THEFT/UNSPECIFIED","4/23/2015 22:00:00","800  BLOCK BALBOA COURT","92109","SAN DIEGO","800  BLOCK BALBOA COURT , SAN DIEGO, CA  92109",-117.2508284,32.7625411
"SAN DIEGO","DISORDERLY CONDUCT:  ALCOHOL","5/12/2015 23:58:00","1200  BLOCK GARNET AVENUE","92109","SAN DIEGO","1200  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2480706,32.7984763
"SAN DIEGO","DISORDERLY CONDUCT:  ALCOHOL","5/13/2015 1:46:00","1100  BLOCK GARNET AVENUE","92109","SAN DIEGO","1100  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2499919,32.7977784
"SAN DIEGO","PETTY THEFT","4/11/2015 23:00:00","700  BLOCK GARNET AVENUE","92109","SAN DIEGO","700  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2566695,32.7963308
"SAN DIEGO","TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT","5/4/2015 21:00:00","1100  BLOCK DIAMOND STREET","92109","SAN DIEGO           ","1100  BLOCK DIAMOND STREET , SAN DIEGO, CA  92109",-117.2508578,32.8006008
"SAN DIEGO","VANDALISM ($400 OR MORE)","5/14/2015 13:00:00","700  BLOCK GRAND AVENUE","92109","SAN DIEGO","700  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.2560589,32.7945089
"SAN DIEGO","PETTY THEFT","5/14/2015 20:00:00","4000  BLOCK GRESHAM STREET","92109","SAN DIEGO","4000  BLOCK GRESHAM STREET , SAN DIEGO, CA  92109",-117.2423559,32.7918611
"SAN DIEGO","GET CREDIT/ETC OTHERS ID","4/1/2015 6:00:00","3900  BLOCK RIVIERA DRIVE","92109","SAN DIEGO","3900  BLOCK RIVIERA DRIVE , SAN DIEGO, CA  92109",-117.2407794,32.7899715
"SAN DIEGO","VANDALISM ($400 OR MORE)","5/16/2015 10:00:00","4300  BLOCK DAWES STREET","92109","SAN DIEGO","4300  BLOCK DAWES STREET , SAN DIEGO, CA  92109",-117.2491197,32.7948615
"SAN DIEGO","PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","3/3/2015 16:30:00","4300  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","4300  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2546106,32.7936755
"SAN DIEGO","BURGLARY/UNSPECIFIED","3/6/2015 1:30:00","800  BLOCK SAN FERNANDO PLACE","92109","SAN DIEGO","800  BLOCK SAN FERNANDO PLACE , SAN DIEGO, CA  92109",-117.2509313,32.7677449
"SAN DIEGO","GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950","4/24/2015 1:30:00","1700  BLOCK WEST MISSION BAY DRIVE","92109","SAN DIEGO","1700  BLOCK WEST MISSION BAY DRIVE , SAN DIEGO, CA  92109",-117.2367656,32.765199
"SAN DIEGO","GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950","12/28/2014 22:00:00","3900  BLOCK JEWELL STREET","92109","SAN DIEGO","3900  BLOCK JEWELL STREET , SAN DIEGO, CA  92109",-117.2362349,32.7909655
"SAN DIEGO","BURGLARY/UNSPECIFIED","2/6/2015 20:00:00","1700  BLOCK WEST MISSION BAY DRIVE","92109","SAN DIEGO","1700  BLOCK WEST MISSION BAY DRIVE , SAN DIEGO, CA  92109",-117.2367656,32.765199
"SAN DIEGO","VANDALISM (LESS THAN $400)","12/28/2014 18:10:00","2600  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","2600  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2490581,32.7597994
"SAN DIEGO","MALICIOUS MISCHIEF/VANDALISM(MISDEMEANOR)","5/12/2015 23:30:00","4600  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","4600  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.255794,32.7975325
"SAN DIEGO","VANDALISM ($400 OR MORE)","5/18/2015 11:30:00","1000  BLOCK FIESTA ISLAND ROAD","92109","SAN DIEGO","1000  BLOCK FIESTA ISLAND ROAD , SAN DIEGO, CA  92109",-117.2219854,32.7801651
"SAN DIEGO","BURGLARY/UNSPECIFIED","5/20/2015 0:23:00","3200  BLOCK OCEAN FRONT WALK","92109","SAN DIEGO","3200  BLOCK OCEAN FRONT WALK , SAN DIEGO, CA  92109",-117.2529428,32.7720292
"SAN DIEGO","TAMPER WITH AUTO","5/20/2015 21:00:00","2400  BLOCK GRAND AVENUE","92109","SAN DIEGO","2400  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.2256284,32.8011788
"SAN DIEGO","THEFT","12/28/2014 18:30:00","2000  BLOCK FELSPAR STREET","92109","SAN DIEGO","2000  BLOCK FELSPAR STREET , SAN DIEGO, CA  92109",-117.2337895,32.8023533
"SAN DIEGO","GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950","2/8/2015 12:35:00","1400  BLOCK VACATION ROAD","92109","SAN DIEGO           ","1400  BLOCK VACATION ROAD , SAN DIEGO, CA  92109",-117.2387119,32.7749863
"SAN DIEGO","PETTY THEFT","2/8/2015 11:30:00","1700  BLOCK ALTA VISTA WAY","92109","SAN DIEGO           ","1700  BLOCK ALTA VISTA WAY , SAN DIEGO, CA  92109",-117.2426542,32.8132616
"SAN DIEGO","PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","4/18/2015 12:00:00","5100  BLOCK FOOTHILL BOULEVARD","92109","SAN DIEGO","5100  BLOCK FOOTHILL BOULEVARD , SAN DIEGO, CA  92109",-117.2471396,32.8093649
"SAN DIEGO","DUI ALCOHOL AND/OR DRUGS","5/9/2015 1:44:00","3000  BLOCK INGRAHAM STREET","92109","SAN DIEGO","3000  BLOCK INGRAHAM STREET , SAN DIEGO, CA  92109",-117.2349784,32.7735073
"SAN DIEGO","MINOR POSSESS ALCOHOL","12/6/2014 1:20:00","4400  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","4400  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2549393,32.7947239
"SAN DIEGO","GRAND THEFT FROM PERSON","12/22/2014 22:30:00","700  BLOCK GRAND AVENUE","92109","SAN DIEGO","700  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.2560589,32.7945089
"SAN DIEGO","PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","1/16/2015 22:30:00","1000  BLOCK TOURMALINE STREET","92109","SAN DIEGO","1000  BLOCK TOURMALINE STREET , SAN DIEGO, CA  92109",-117.2549624,32.8077016
"SAN DIEGO","INDECENT EXPOSURE","5/17/2015 22:02:00","1700  BLOCK EAST MISSION BAY DRIVE","92109","SAN DIEGO","1700  BLOCK EAST MISSION BAY DRIVE , SAN DIEGO, CA  92109",-117.209625,32.7773625
"SAN DIEGO","THEFT","4/4/2015 16:20:00","3100  BLOCK MISSION BOULEVARD","92109","SAN DIEGO           ","3100  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2509951,32.7698445
"SAN DIEGO","PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","5/18/2015 11:41:00","3100  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","3100  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2509951,32.7698445
"SAN DIEGO","DISORDERLY CONDUCT:  ALCOHOL","5/3/2015 1:00:00","2900  BLOCK INGRAHAM STREET","92109","SAN DIEGO","2900  BLOCK INGRAHAM STREET , SAN DIEGO, CA  92109",-117.2346567,32.772209
"SAN DIEGO","GET CREDIT/ETC OTHERS ID","4/25/2015 1:00:00","1100  BLOCK GARNET AVENUE","92109","SAN DIEGO","1100  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2499919,32.7977784
"SAN DIEGO","PETTY THEFT","5/12/2015 17:30:00","4200  BLOCK MISSION BAY DRIVE","92109","SAN DIEGO","4200  BLOCK MISSION BAY DRIVE , SAN DIEGO, CA  92109",-117.2115335,32.7980515
"SAN DIEGO","SELL/FURNISH/GIVE/TRANSPORT/ETC MARIJUANA OVER 28.5 GRAMS","5/4/2015 18:22:00","800  BLOCK WEST MISSION BAY DRIVE","92109","SAN DIEGO","800  BLOCK WEST MISSION BAY DRIVE , SAN DIEGO, CA  92109",-117.2504453,32.77212
"SAN DIEGO","THEFT","4/13/2015 13:53:00","1700  BLOCK GARNET AVENUE","92109","SAN DIEGO","1700  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2389958,32.8002163
"SAN DIEGO","GET CREDIT/ETC OTHERS ID","12/24/2014 7:30:00","3800  BLOCK KENDALL STREET","92109","SAN DIEGO","3800  BLOCK KENDALL STREET , SAN DIEGO, CA  92109",-117.2342428,32.7897811
"SAN DIEGO","BURGLARY/UNSPECIFIED","2/14/2015 9:00:00","4500  BLOCK MISSION BAY DRIVE","92109","SAN DIEGO","4500  BLOCK MISSION BAY DRIVE , SAN DIEGO, CA  92109",-117.2165072,32.8028591
"SAN DIEGO","BURGLARY/FIRST DEGREE","5/16/2015 18:00:00","3900  BLOCK CROWN POINT DRIVE","92109","SAN DIEGO","3900  BLOCK CROWN POINT DRIVE , SAN DIEGO, CA  92109",-117.2319094,32.7919274
"SAN DIEGO","PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","1/5/2015 4:00:00","4600  BLOCK LAMONT STREET","92109","SAN DIEGO","4600  BLOCK LAMONT STREET , SAN DIEGO, CA  92109",-117.2363856,32.8025552
"SAN DIEGO","ASSAULT WITH A DEADLY WEAPON OR BY FORCE","3/29/2015 20:30:00","3000  BLOCK MISSION BOULEVARD","92109","SAN DIEGO           ","3000  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2509508,32.7677697
"SAN DIEGO","BURGLARY/UNSPECIFIED","5/19/2015 4:30:00","4100  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","4100  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2538063,32.7910763
"SAN DIEGO","BURGLARY/UNSPECIFIED","3/30/2015 7:30:00","4000  BLOCK RIVIERA DRIVE","92109","SAN DIEGO","4000  BLOCK RIVIERA DRIVE , SAN DIEGO, CA  92109",-117.241371,32.7919021
"SAN DIEGO","GRAND THEFT/UNSPECIFIED","5/17/2015 23:00:00","1700  BLOCK WEST MISSION BAY DRIVE","92109","SAN DIEGO","1700  BLOCK WEST MISSION BAY DRIVE , SAN DIEGO, CA  92109",-117.2367656,32.765199
"SAN DIEGO","DISORDERLY CONDUCT:  ALCOHOL","1/1/2015 0:15:00","1100  BLOCK GARNET AVENUE","92109","SAN DIEGO","1100  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2499919,32.7977784
"SAN DIEGO","TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT","12/24/2014 18:25:00","3800  BLOCK MISSION BOULEVARD","92109","SAN DIEGO           ","3800  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2529324,32.7846264
"SAN DIEGO","TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT","12/19/2014 8:30:00","5100  BLOCK LA JOLLA BOULEVARD","92109","SAN DIEGO           ","5100  BLOCK LA JOLLA BOULEVARD , SAN DIEGO, CA  92109",-117.2600643,32.8065852
"SAN DIEGO","BATTERY ON PERSON","4/8/2015 1:29:00","1100  BLOCK GARNET AVENUE","92109","SAN DIEGO           ","1100  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2499919,32.7977784
"SAN DIEGO","GRAND THEFT/UNSPECIFIED","4/16/2015 12:04:00","4600  BLOCK ALBUQUERQUE STREET","92109","SAN DIEGO","4600  BLOCK ALBUQUERQUE STREET , SAN DIEGO, CA  92109",-117.2177368,32.8064356
"SAN DIEGO","PETTY THEFT","4/7/2015 7:30:00","2400  BLOCK GRAND AVENUE","92109","SAN DIEGO","2400  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.2256284,32.8011788
"SAN DIEGO","GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950","4/6/2015 14:00:00","2400  BLOCK GRAND AVENUE","92109","SAN DIEGO","2400  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.2256284,32.8011788
"SAN DIEGO","PETTY THEFT","12/24/2014 2:00:00","4700  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","4700  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2564476,32.7996108
"SAN DIEGO","BURGLARY/UNSPECIFIED","5/19/2015 22:00:00","1100  BLOCK HORNBLEND STREET","92109","SAN DIEGO","1100  BLOCK HORNBLEND STREET , SAN DIEGO, CA  92109",-117.2497194,32.7968633
"SAN DIEGO","TERRORIST THREATS THAT THREATEN FAMILY","4/20/2015 10:00:00","5300  BLOCK LA JOLLA MESA DRIVE","92109","SAN DIEGO","5300  BLOCK LA JOLLA MESA DRIVE , SAN DIEGO, CA  92109",-117.2598972,32.8105194
"SAN DIEGO","ROBBERY","4/4/2015 12:30:00","1400  BLOCK GARNET AVENUE","92109","SAN DIEGO","1400  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2444118,32.7991845
"SAN DIEGO","PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","4/30/2015 23:05:00","700  BLOCK ENSENADA COURT","92109","SAN DIEGO","700  BLOCK ENSENADA COURT , SAN DIEGO, CA  92109",-117.2525173,32.7671418
"SAN DIEGO","DUI ALCOHOL AND/OR DRUGS","5/14/2015 21:35:00","4600  BLOCK BAYARD STREET","92109","SAN DIEGO","4600  BLOCK BAYARD STREET , SAN DIEGO, CA  92109",-117.2539716,32.7978979
"SAN DIEGO","DISORDERLY CONDUCT:  ALCOHOL","12/24/2014 18:09:00","700  BLOCK GRAND AVENUE","92109","SAN DIEGO","700  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.2560589,32.7945089
"SAN DIEGO","IMPERSONATE TO GET MONEY/FELONY","4/6/2015 4:00:00","2200  BLOCK EMERALD STREET","92109","SAN DIEGO","2200  BLOCK EMERALD STREET , SAN DIEGO, CA  92109",-117.2304167,32.804106
"SAN DIEGO","GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950","4/27/2015 20:00:00","4500  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","4500  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2554928,32.796557
"SAN DIEGO","BURGLARY/UNSPECIFIED","3/12/2015 12:00:00","3100  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","3100  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2509951,32.7698445
"SAN DIEGO","BURGLARY/UNSPECIFIED","12/23/2014 20:20:00","1000  BLOCK GARNET AVENUE","92109","SAN DIEGO","1000  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2516784,32.7977202
"SAN DIEGO","USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE","5/18/2015 22:56:00","1300  BLOCK GARNET AVENUE","92109","SAN DIEGO","1300  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2463657,32.7985843
"SAN DIEGO","PETTY THEFT","2/28/2015 8:00:00","3100  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","3100  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2509951,32.7698445
"SAN DIEGO","PETTY THEFT","5/20/2015 12:13:00","1400  BLOCK VACATION ROAD","92109","SAN DIEGO","1400  BLOCK VACATION ROAD , SAN DIEGO, CA  92109",-117.2387119,32.7749863
"SAN DIEGO","PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","5/5/2015 22:25:00","2700  BLOCK DE ANZA ROAD","92109","SAN DIEGO","2700  BLOCK DE ANZA ROAD , SAN DIEGO, CA  92109",-117.2158492,32.7974593
"SAN DIEGO","ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE","5/20/2015 14:25:00","700  BLOCK GRAND AVENUE","92109","SAN DIEGO","700  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.2560589,32.7945089
"SAN DIEGO","TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT","2/25/2015 23:00:00","1100  BLOCK PACIFIC BEACH DRIVE","92109","SAN DIEGO           ","1100  BLOCK PACIFIC BEACH DRIVE , SAN DIEGO, CA  92109",-117.248258,32.7921726
"SAN DIEGO","VANDALISM:DEFACE PROPERTY (FELONY)","3/24/2015 1:00:00","4400  BLOCK GRESHAM STREET","92109","SAN DIEGO","4400  BLOCK GRESHAM STREET , SAN DIEGO, CA  92109",-117.2439355,32.7970062
"SAN DIEGO","TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT","5/5/2015 17:00:00","1800  BLOCK GARNET AVENUE","92109","SAN DIEGO           ","1800  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.237152,32.8006145
"SAN DIEGO","TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT","5/9/2015 11:00:00","5200  BLOCK CASS STREET","92109","SAN DIEGO           ","5200  BLOCK CASS STREET , SAN DIEGO, CA  92109",-117.2555381,32.809427
"SAN DIEGO","DRUNK, PROTECTIVE CUSTODY","1/1/2015 1:40:00","1400  BLOCK GARNET AVENUE","92109","SAN DIEGO","1400  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2444118,32.7991845
"SAN DIEGO","DRUNK, PROTECTIVE CUSTODY","1/1/2015 1:19:00","1400  BLOCK GARNET AVENUE","92109","SAN DIEGO","1400  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2444118,32.7991845
"SAN DIEGO","BURGLARY/UNSPECIFIED","1/1/2015 11:00:00","1100  BLOCK WEST MISSION BAY DRIVE","92109","SAN DIEGO","1100  BLOCK WEST MISSION BAY DRIVE , SAN DIEGO, CA  92109",-117.2458792,32.7641453
